Data;NDVI;M�dia - Desvio Padr�o;M�dia + Desvio Padr�o
10/06/2006;0,5009;0,4451;0,5568
26/06/2006;0,484;0,4459;0,5221
12/07/2006;0,4974;0,4581;0,5367
28/07/2006;0,4503;0,4032;0,4973
13/08/2006;0,415;0,3716;0,4584
29/08/2006;0,4217;0,3786;0,4649
14/09/2006;0,4294;0,3792;0,4797
30/09/2006;0,3851;0,1892;0,581
16/10/2006;0,6626;0,6295;0,6957
01/11/2006;0,674;0,6462;0,7018
17/11/2006;0,6229;0,5302;0,7157
03/12/2006;0,4197;0,2301;0,6093
19/12/2006;0,2353;-0,0534;0,5241
01/01/2007;0,6813;0,6101;0,7525
17/01/2007;0,4708;0,3588;0,5829
02/02/2007;0,7152;0,6777;0,7528
18/02/2007;0,6391;0,5777;0,7006
06/03/2007;0,5448;0,4907;0,599
22/03/2007;0,6491;0,6049;0,6934
07/04/2007;0,5836;0,3349;0,8323
23/04/2007;0,6873;0,6591;0,7156
09/05/2007;0,625;0,5814;0,6686
25/05/2007;0,6153;0,5787;0,6518
10/06/2007;0,5879;0,5519;0,6239
26/06/2007;0,54;0,4791;0,6009
12/07/2007;0,5188;0,4937;0,544
28/07/2007;0,5142;0,4669;0,5616
13/08/2007;0,4679;0,4049;0,5308
29/08/2007;0,4388;0,3873;0,4903
14/09/2007;0,3988;0,3614;0,4362
30/09/2007;0,3814;0,3314;0,4313
16/10/2007;0,3937;0,3228;0,4645
01/11/2007;0,5183;0,4749;0,5616
17/11/2007;0,6208;0,5675;0,6742
03/12/2007;0,4746;0,3645;0,5847
19/12/2007;0,5026;0,3892;0,6161
01/01/2008;0,5466;0,4599;0,6334
17/01/2008;0,2892;0,1325;0,4459
02/02/2008;0,6694;0,5917;0,747
18/02/2008;0,5946;0,4434;0,7457
05/03/2008;0,623;0,4908;0,7552
21/03/2008;0,5658;0,4214;0,7102
06/04/2008;0,5578;0,427;0,6887
22/04/2008;0,6717;0,6106;0,7329
08/05/2008;0,6698;0,6367;0,7029
24/05/2008;0,637;0,5733;0,7008
09/06/2008;0,6066;0,5517;0,6615
25/06/2008;0,4926;0,3714;0,6139
11/07/2008;0,4598;0,3536;0,5661
27/07/2008;0,409;0,3123;0,5057
12/08/2008;0,4055;0,2867;0,5243
28/08/2008;0,3698;0,2608;0,4788
13/09/2008;0,429;0,3684;0,4896
29/09/2008;0,4176;0,3301;0,5051
15/10/2008;0,4996;0,4434;0,5558
31/10/2008;0,5125;0,3904;0,6345
16/11/2008;0,5363;0,4637;0,6089
